Date_and_time, Temp_0, Temp_1, Temp_2, Temp_3, Temp_4, Temp_5, Temp_6, Temp_7, Temp_8, Temp_9, Temp_10, Temp_11, Temp_12, Temp_13, Temp_14, Temp_15

2025-08-15 19:43:16.634, 26.913, 26.911, 27.141, 27.029, 24.620, 24.344, 62.767, 62.767, 26.740, 26.776, 27.003, 26.844, 24.620, 24.344, 62.767, 62.767
2025-08-15 19:43:17.642, 26.912, 26.912, 27.140, 27.029, 24.622, 24.345, 62.767, 62.767, 26.739, 26.777, 27.002, 26.844, 24.622, 24.345, 62.767, 62.767
2025-08-15 19:43:18.642, 26.912, 26.912, 27.139, 27.028, 24.624, 24.345, 62.767, 62.767, 26.739, 26.777, 27.001, 26.843, 24.624, 24.345, 62.767, 62.767
2025-08-15 19:43:19.643, 26.911, 26.911, 27.136, 27.028, 24.625, 24.346, 62.767, 62.767, 26.738, 26.776, 26.998, 26.843, 24.625, 24.346, 62.767, 62.767
2025-08-15 19:43:20.643, 26.911, 26.910, 27.136, 27.027, 24.626, 24.346, 62.767, 62.767, 26.738, 26.775, 26.998, 26.842, 24.626, 24.346, 62.767, 62.767
2025-08-15 19:43:21.644, 26.910, 26.909, 27.135, 27.026, 24.627, 24.348, 62.767, 62.767, 26.737, 26.774, 26.997, 26.841, 24.627, 24.348, 62.767, 62.767
2025-08-15 19:43:22.644, 26.911, 26.910, 27.132, 27.026, 24.629, 24.350, 62.767, 62.767, 26.738, 26.775, 26.994, 26.841, 24.629, 24.350, 62.767, 62.767
2025-08-15 19:43:23.645, 26.909, 26.909, 27.131, 27.025, 24.630, 24.350, 62.767, 62.767, 26.736, 26.774, 26.993, 26.840, 24.630, 24.350, 62.767, 62.767
2025-08-15 19:43:24.645, 26.908, 26.909, 27.130, 27.024, 24.631, 24.351, 62.767, 62.767, 26.735, 26.774, 26.992, 26.839, 24.631, 24.351, 62.767, 62.767
2025-08-15 19:43:25.646, 26.907, 26.909, 27.128, 27.024, 24.633, 24.353, 62.767, 62.767, 26.734, 26.774, 26.990, 26.839, 24.633, 24.353, 62.767, 62.767
2025-08-15 19:43:26.647, 26.907, 26.908, 27.127, 27.024, 24.634, 24.354, 62.767, 62.767, 26.734, 26.773, 26.989, 26.839, 24.634, 24.354, 62.767, 62.767
2025-08-15 19:43:27.647, 26.907, 26.907, 27.125, 27.022, 24.635, 24.354, 62.767, 62.767, 26.734, 26.772, 26.987, 26.837, 24.635, 24.354, 62.767, 62.767
2025-08-15 19:43:28.648, 26.906, 26.907, 27.123, 27.020, 24.636, 24.355, 62.767, 62.767, 26.733, 26.772, 26.985, 26.835, 24.636, 24.355, 62.767, 62.767
2025-08-15 19:43:29.648, 26.905, 26.906, 27.123, 27.020, 24.638, 24.355, 62.767, 62.767, 26.732, 26.771, 26.985, 26.835, 24.638, 24.355, 62.767, 62.767
2025-08-15 19:43:30.648, 26.906, 26.905, 27.122, 27.020, 24.639, 24.355, 62.767, 62.767, 26.733, 26.770, 26.984, 26.835, 24.639, 24.355, 62.767, 62.767
2025-08-15 19:43:31.649, 26.905, 26.904, 27.121, 27.019, 24.640, 24.355, 62.767, 62.767, 26.732, 26.769, 26.983, 26.834, 24.640, 24.355, 62.767, 62.767
2025-08-15 19:43:32.649, 26.904, 26.904, 27.119, 27.018, 24.641, 24.355, 62.767, 62.767, 26.731, 26.769, 26.981, 26.833, 24.641, 24.355, 62.767, 62.767
2025-08-15 19:43:33.650, 26.904, 26.904, 27.118, 27.016, 24.643, 24.355, 62.767, 62.767, 26.731, 26.769, 26.980, 26.831, 24.643, 24.355, 62.767, 62.767
2025-08-15 19:43:34.650, 26.903, 26.903, 27.118, 27.014, 24.644, 24.356, 62.767, 62.767, 26.730, 26.768, 26.980, 26.829, 24.644, 24.356, 62.767, 62.767
2025-08-15 19:43:35.650, 26.901, 26.903, 27.117, 27.014, 24.645, 24.356, 62.767, 62.767, 26.728, 26.768, 26.979, 26.829, 24.645, 24.356, 62.767, 62.767
2025-08-15 19:43:36.651, 26.899, 26.902, 27.117, 27.014, 24.647, 24.356, 62.767, 62.767, 26.726, 26.767, 26.979, 26.829, 24.647, 24.356, 62.767, 62.767
2025-08-15 19:43:37.651, 26.899, 26.902, 27.116, 27.013, 24.647, 24.357, 62.767, 62.767, 26.726, 26.767, 26.978, 26.828, 24.647, 24.357, 62.767, 62.767
2025-08-15 19:43:38.652, 26.899, 26.902, 27.114, 27.012, 24.648, 24.358, 62.767, 62.767, 26.726, 26.767, 26.976, 26.827, 24.648, 24.358, 62.767, 62.767
2025-08-15 19:43:39.653, 26.898, 26.902, 27.113, 27.011, 24.649, 24.358, 62.767, 62.767, 26.725, 26.767, 26.975, 26.826, 24.649, 24.358, 62.767, 62.767
2025-08-15 19:43:40.653, 26.898, 26.901, 27.113, 27.009, 24.650, 24.359, 62.767, 62.767, 26.725, 26.766, 26.975, 26.824, 24.650, 24.359, 62.767, 62.767
2025-08-15 19:43:41.653, 26.898, 26.899, 27.111, 27.009, 24.652, 24.360, 62.767, 62.767, 26.725, 26.764, 26.973, 26.824, 24.652, 24.360, 62.767, 62.767
2025-08-15 19:43:42.654, 26.896, 26.899, 27.110, 27.007, 24.652, 24.360, 62.767, 62.767, 26.723, 26.764, 26.972, 26.822, 24.652, 24.360, 62.767, 62.767
2025-08-15 19:43:43.654, 26.895, 26.898, 27.110, 27.005, 24.653, 24.361, 62.767, 62.767, 26.722, 26.763, 26.972, 26.820, 24.653, 24.361, 62.767, 62.767
